platform,rows,unique_product_key,median_price,mean_price,median_review_count,mean_review_count,median_rating,mean_rating,duplicate_overall_count
coupang,200,148,14625.0,20495.1,8626.0,23616.19,5.0,4.9,104
naver_shopping,200,119,56400.0,80606.05,14858.0,30850.16,4.9,4.85,157
