axis,label,count,ratio,base_n
context,제로/저당/다이어트,274,0.4840989399293286,566
context,운동/러닝/헬스,266,0.46996466431095407,566
context,더위/갈증/수분보충,263,0.46466431095406363,566
context,일상 음료,239,0.42226148409893993,566
context,감기/몸살/컨디션 회복,235,0.41519434628975266,566
context,어린이/가족,117,0.2067137809187279,566
context,숙취/해장,109,0.19257950530035337,566
