signal_category,display_name,matched_review_count,matched_review_rate,matched_avg_score,unmatched_avg_score,score_diff_matched_minus_unmatched
positive_fun,재미/긍정,3154,0.3231226308779838,4.468928344958782,3.8718026335704554,0.597125711388327
ad_complaint,광고 불만,896,0.0917938735785268,2.5792410714285716,4.2148900169204735,-1.6356489454919019
difficulty,난이도,431,0.04415531195574224,2.8677494199535962,4.120042872454448,-1.2522934525008518
payment_iap,과금/IAP,428,0.04384796639688557,2.380841121495327,4.14196935604843,-1.7611282345531034
bug_performance,오류/성능,393,0.04026226821022436,2.7251908396946565,4.1209436379163105,-1.395752798221654
reward,보상/리워드,226,0.02315336543386948,2.9424778761061945,4.091347666491872,-1.1488697903856777
repetition_boredom,반복성/지루함,113,0.01157668271693474,2.734513274336283,4.080327529021559,-1.3458142546852754
