comparison,a_count,b_count,overlap_count,union_count,jaccard,overlap_rate_a,overlap_rate_b
쿠팡랭킹순 vs 판매량순,100,100,52,148,0.3514,0.52,0.52
많이구매한BEST_일간 vs 많이구매한BEST_주간,98,96,75,119,0.6303,0.7653,0.7812
