app_id,title,developer,genre,genre_id,score,ratings_count,reviews_count,installs,min_installs,real_installs,free,price,currency,contains_ads,in_app_purchase,released,content_rating,url,updated
com.vitastudio.mahjong,Vita Mahjong,Vita Studio.,Board,GAME_BOARD,4.782185,5450308.0,61878.0,"100,000,000+",100000000,337761305,True,0.0,USD,True,True,"Jan 9, 2024",Everyone,https://play.google.com/store/apps/details?id=com.vitastudio.mahjong&hl=en&gl=us,2026-06-05 12:49:30
com.yodo1.crossyroad,Crossy Road,HIPSTER WHALE,Action,GAME_ACTION,4.4568067,4571872.0,349555.0,"100,000,000+",100000000,177600599,True,0.0,USD,True,True,"Jan 7, 2015",Everyone,https://play.google.com/store/apps/details?id=com.yodo1.crossyroad&hl=en&gl=us,2026-06-04 01:32:58
com.firsttouchgames.dls7,Dream League Soccer 2026,First Touch Games Ltd.,Sports,GAME_SPORTS,4.445404,14036459.0,90800.0,"100,000,000+",100000000,430681040,True,0.0,USD,True,True,"Jan 14, 2020",Everyone,https://play.google.com/store/apps/details?id=com.firsttouchgames.dls7&hl=en&gl=us,2026-05-28 15:41:22
com.vincentb.MobControl,Mob Control,VOODOO,Arcade,GAME_ARCADE,4.3501735,909101.0,40468.0,"100,000,000+",100000000,258763634,True,0.0,USD,False,True,"Apr 29, 2021",Everyone,https://play.google.com/store/apps/details?id=com.vincentb.MobControl&hl=en&gl=us,2026-06-05 15:25:05
com.playrix.township,Township,Playrix,Casual,GAME_CASUAL,4.6939836,12690271.0,371102.0,"500,000,000+",500000000,503841372,True,0.0,USD,False,True,"Nov 8, 2013",Everyone,https://play.google.com/store/apps/details?id=com.playrix.township&hl=en&gl=us,2026-05-13 19:01:33
com.mediocre.smashhit,Smash Hit,Mediocre,Arcade,GAME_ARCADE,4.5248213,4666122.0,170012.0,"100,000,000+",100000000,206912663,True,0.0,USD,True,True,"Mar 5, 2014",Everyone,https://play.google.com/store/apps/details?id=com.mediocre.smashhit&hl=en&gl=us,2026-03-30 11:13:54
io.voodoo.holeio,Hole.io,VOODOO,Casual,GAME_CASUAL,2.9716988,1262014.0,133934.0,"100,000,000+",100000000,397493292,True,0.0,USD,True,True,"Jun 21, 2018",Teen,https://play.google.com/store/apps/details?id=io.voodoo.holeio&hl=en&gl=us,2026-06-02 14:57:08
com.superbox.aos.collecthole,Drop in the Hole,SUPERBOX Inc,Casual,GAME_CASUAL,4.52,184.0,8.0,"10,000+",10000,24587,True,0.0,USD,True,True,"Apr 12, 2026",Everyone,https://play.google.com/store/apps/details?id=com.superbox.aos.collecthole&hl=en&gl=us,2026-05-21 17:08:08
com.kitkagames.fallbuddies,Stumble Guys,Scopely,Action,GAME_ACTION,4.6281466,6707246.0,72928.0,"100,000,000+",100000000,469680856,True,0.0,USD,True,True,"Sep 24, 2020",Everyone,https://play.google.com/store/apps/details?id=com.kitkagames.fallbuddies&hl=en&gl=us,2026-06-02 09:59:24
com.JindoBlu.Antistress,Antistress - relaxation toys,JindoBlu,Puzzle,GAME_PUZZLE,4.711804,964238.0,24730.0,"100,000,000+",100000000,359072060,True,0.0,USD,True,True,"Nov 8, 2016",Everyone,https://play.google.com/store/apps/details?id=com.JindoBlu.Antistress&hl=en&gl=us,2026-05-21 10:18:07
