platform,category,ranking_type,ranking_label,rank,product_name,product_key,brand_or_seller,price,original_price,discount_rate,discount_amount,delivery_type,review_count,rating,log_review_count,price_group,review_group,price_group_by_platform,review_group_by_platform,is_top20,has_original_price,duplicate_in_ranking_type,duplicate_in_platform,duplicate_overall,product_url,image_url,collected_date,source_file,product_key_raw_check,price_raw,original_price_raw,discount_rate_raw,review_count_raw,rating_raw
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,60,비엔날씬 비에날씬 프로 다이어트 유산균 모유유래 비엔알 BNR17 김희선,비엔날씬 비에날씬 프로 다이어트 유산균 모유유래 비엔알 bnr17 김희선,영양닷컴,41830,,0,,,640,4.7,6.46302945692067,mid_price,low_review,low_price,low_review,False,False,False,False,False,https://adcr.shopping.naver.com/adclk.nhn?x=4VajjAmCzx%2B0KBUZ9zFbmv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUeMxL%2Bkb8z8bBlLKOXLE4ghwnhptDITC86D3A%2BhFsCxkhJJC4wLMBC0vlWIt6Y4xseMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEm3TzLCI8LN%2Bc78%2B5lpJxPhGMEIysRCMiG28nRI%2FuX8Kp8N5cFPiKvpvtZFiNlkFvtBhVng9dxUb11NFi1VmjWamP5ufC7FRae%2F9qGuZV9%2B%2FpSAFCW9eLMVDSl8TkW7Z1C7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8890156/88901564487.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,비엔날씬 비에날씬 프로 다이어트 유산균 모유유래 비엔알 bnr17 김희선,41830,,,640,4.7
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,61,안국약품 토비콤 루테인 지아잔틴 아스타잔틴 루지아,안국약품 토비콤 루테인 지아잔틴 아스타잔틴 루지아,안국약품,51000,,0,,,6328,4.8,8.752897524775305,high_price,mid_review,mid_price,low_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=9B7fI%2FWF4nP5JJDTDWR3ef%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUd%2BSX%2BCV20B%2Fcz0zdRYXr6BxIo5o73NhAkDD7qw5AJda1JqmoaZphCYHBbDeUDfOLqMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEBQBNfeBhdcvSyZNoPWMb9YK%2B%2FMboGZDIt5d7Rb42F1ep8N5cFPiKvpvtZFiNlkFvD7sqM%2B%2FeGx0CkILp8kN8lbbe17wdTasSDKnrJv11Wp3yJ5tbPvWKqJ5D8tQZWDk0C7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8953251/89532514985.18.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,안국약품 토비콤 루테인 지아잔틴 아스타잔틴 루지아,51000,,,6328,4.8
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,62,"[휴온스N] 김정난 갱년기유산균YT1 메노락토 프로바이오틱스 3개월분, 90캡슐 1박스+프리미엄 징코 12일분",휴온스n 김정난 갱년기유산균yt1 메노락토 프로바이오틱스 프리미엄 징코,휴온스N,128000,,0,,,41442,4.8,10.632074268135453,high_price,high_review,high_price,high_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=rN%2F6gygIqEo8MLyusfu5r%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUdJE6h6WYj1h7KafX%2Bi67vvG%2FllggwIf%2FBSlKLojSTNXoB5AeByZcYxyz9KEO6c0eyMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BESVhXPE98hfS1kgH6cFvP9yIdIHcvPTQoVYdfFZlDYr6p8N5cFPiKvpvtZFiNlkFv4krQ%2F0h3v0mE21RAV%2FompAh5AOXlpV339HizrjR1b4ycGrRZwu6muMkL952VmRqqC7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8254149/82541499411.77.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,휴온스n 김정난 갱년기유산균yt1 메노락토 프로바이오틱스 프리미엄 징코,128000,,,41442,4.8
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,63,"고려은단 메가도스B 비타민B 컴플렉스 60정, 3개 (6개월분)",고려은단 메가도스b 비타민b 컴플렉스,고려은단몰,47900,,0,,,34838,4.9,10.458492727913868,high_price,high_review,mid_price,high_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=qhk8x0fdjrjEBSOBWUn3b%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUfdWTqgl61KBy0Vi0zhMwtqnj%2FYBIr8lEa3rNFaynbkACUQ5dNDXvhZAwY6bkA0fkqMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEiqIUi72oWfN5ge5Vy2xBzWEyCjh3SBFkBxchBVuJiaWp8N5cFPiKvpvtZFiNlkFvv13ibO%2F1hws7gbVDxw2dHWP3Gdawgchaq836ydVJQ3WghB4lWNAWIoH1J2VQD40UC7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8555626/85556265656.10.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,고려은단 메가도스b 비타민b 컴플렉스,47900,,,34838,4.9
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,64,혈액순환 진센큐 영양제 4개월분 은행잎추출물 나토키나제 징코 혈행 기억력 뇌건강 키토나제12 효소 병풀잎(부원료),혈액순환 진센큐 영양제 은행잎추출물 나토키나제 징코 혈행 기억력 뇌건강 키토나제12 효소 병풀잎 부원료,바른뉴트리,89000,,0,,,47316,4.8,10.764624917942255,high_price,high_review,high_price,high_review,False,False,False,False,False,https://adcr.shopping.naver.com/adclk.nhn?x=wzwsSyCMwumBvvLxd1dPuv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUdyjITdaPDlZr9H9c%2Bb8zC%2FO2m8SScsg56Qmy95e3gSaJOlMjn6eIcmD%2Fb7%2BYdO4GiMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEtQf0frLEp8inm0Hlz6GtL0QcstlW%2FQ3iQqNg1RGor7Sp8N5cFPiKvpvtZFiNlkFvrK8CKbRQ0K%2BOKAgm46lFjk8kgahGcjSdI8sN3U3UAj0A6gdZDQeZBvLE2%2B5X%2FEXuC7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8001294/80012942981.9.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,혈액순환 진센큐 영양제 은행잎추출물 나토키나제 징코 혈행 기억력 뇌건강 키토나제12 효소 병풀잎 부원료,89000,,,47316,4.8
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,65,(본사공식) 아이뮨랩 루마큐라 3개월,아이뮨랩 루마큐라 3개월,아이뮨랩,119100,,0,,,420,4.7,6.042632833682381,high_price,low_review,high_price,low_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=gYlNxzlLXvJFGa4etAykG%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUczA37LA36B%2Bq1MWXwrLkkib30jwXDiW8gtegzWS4MrpfNR5q0liEs6yzBq8Oz4%2BTSMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BE9H5tgTiNu6S%2FkBV29cpTFybbJ8pBR6fj3E%2FL%2BK4P6Lyp8N5cFPiKvpvtZFiNlkFv8JMEk1RL%2FMkLvOt%2F6YpLVcckxUE0azA3x8hOCv8fYRV69eh9UKsxoZkf7MxWXTS3C7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_9003631/90036316069.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,아이뮨랩 루마큐라 3개월,119100,,,420,4.7
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,66,(총 2박스 60포 2개월분) 이경제 흑염소 진액 진 엑기스 즙 이경재 국내산 리뉴얼 70ml,총 이경제 흑염소 진액 진 엑기스 즙 이경재 국내산 70ml,홍동비책,94900,,0,,,32246,4.9,10.381180294641172,high_price,high_review,high_price,high_review,False,False,False,False,False,https://adcr.shopping.naver.com/adclk.nhn?x=l%2Fg57q8TE%2Fj6QAILps0bNP%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUe1vyLHj6h0ZwheLC3OuSkqsteGBfuTXuVuWeo264P1inZ6NM8YTRa59zKK6gYk1RmMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEjUMdod4%2F4VVbtYOuhLabbWne3y1mP2eIF3HtKOLR4n2p8N5cFPiKvpvtZFiNlkFvjl6IIib9DNFh8C7HtzZQ0RtWWUTkMhASVTg7mlp3XPej68NY7lXVYKJtpESmiTWeC7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8869090/88690908080.61.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,총 이경제 흑염소 진액 진 엑기스 즙 이경재 국내산 70ml,94900,,,32246,4.9
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,67,락토핏 플러스 듀얼바이오틱스 생유산균 200포 코스트코 종근당 프로바이오틱스 장 대용량,락토핏 플러스 듀얼바이오틱스 생유산균 코스트코 종근당 프로바이오틱스 장,티에스shop,31200,,0,,,9550,4.8,9.164401140034737,mid_price,mid_review,low_price,mid_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=9D3IYZucVGaiNF%2Bsqwkbwv%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUeJ61CRVuU4Rd0fiG%2Fplz0psljrIDWiDr8DPpp9yQ1S%2BkGuPt%2FgrSeYh9JJ85GY1iyMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEt7UhhM0XQfD3oOM5x0OibzhCgZqpCF78EWtnIrnFi9mp8N5cFPiKvpvtZFiNlkFvdG367DM4AovXXwGBiZek8aqgGK2HFsZOcVuU5ffbkPSb7eTdEmvEsCCE1hwO3uOwC7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8212468/82124681819.8.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,락토핏 플러스 듀얼바이오틱스 생유산균 코스트코 종근당 프로바이오틱스 장,31200,,,9550,4.8
naver_shopping,건강식품,naver_buy_daily,많이구매한BEST_일간,68,암웨이 더블엑스 리필 종합 비타민 무기질,암웨이 더블엑스 리필 종합 비타민 무기질,NATUREMARKET,67500,,0,,,4308,4.9,8.368461137615839,high_price,low_review,mid_price,low_review,False,False,False,True,True,https://adcr.shopping.naver.com/adclk.nhn?x=hlYAsyu72TX0oNbvfkD7m%2F%2F%2F%2Fw%3D%3Dsmd8zBqMJQLjellaiFGSaxelHjPrOWjZx0d%2BfAbCirfJS0MlE9Zhp0ZdexlLGrR6%2FG7G5RJJUxF5j92Eo1iXTsoZdhCE9OcMVyJIwnPrYIuQK0ziEfw2%2FX1n2sRb2GAYeWMkho%2FmboYur%2B7CUmxZLTeYUh9naGYWHtG4yIz4TlUegIcdEyl6EYUgUOvePVJIhd3JRVN2gXSBLdqj5LPu8l%2BnhG1nN387Z39srmOTptiiMHnypgMYOj%2BppYy8krfLQOruYZ0qvXRqoWGVrNJGunLEI7IotpuxDsxMpzOX3afg%2FWIA9jvcPh7wp%2BthoC3OXTe2y1de4HCKa0h%2BewmwyypLQb09RkuxvU%2BjHfVGNPZwtjqcXCzC1FizX6ay%2Fh7BEn5%2F8Wov5OY37SmqiAZdnL8OqH2m9fItZwUV%2BxxqeDq%2Bp8N5cFPiKvpvtZFiNlkFvRAiIasStsx05GdQpy1QQHmn1liLBBkSA1WZEl8m%2FArIoQzAtSHidQcVCP%2Fois292C7V67rfH3iNtVAxlGmuIM5Md47BbalqjJCPGSMnN4ql%2FOnYGuJ7aS5gkCprihO57Xlycpep0qsMgsOYv%2FbhZfXH24bSfM4oagza7GbmlT1A%3D,https://shopping-phinf.pstatic.net/main_8622001/86220013560.7.jpg?type=f450,2026-06-01,네이버쇼핑-건강식품-많이구매한BEST-일간-2026-06-01-12-02-48.xlsx,암웨이 더블엑스 리필 종합 비타민 무기질,67500,,,4308,4.9
