customer_state,order_count,avg_delivery_days,delayed_order_rate_pct,avg_review_score
AL,397,24.54,23.93,3.85
MA,717,21.57,19.67,3.83
PI,476,19.46,15.97,3.99
CE,1279,21.27,15.32,3.94
SE,335,21.52,15.22,3.91
BA,3256,19.34,14.04,3.93
RJ,12350,15.31,13.47,3.97
TO,274,17.66,12.77,4.15
PA,946,23.77,12.37,3.91
ES,1995,15.79,12.23,4.08
